台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
781,パチスロ蒼天の拳 朋友,0,0,-,-,3,3,0
782,パチスロ蒼天の拳 朋友,0,0,-,-,152,152,0
783,パチスロ蒼天の拳 朋友,0,0,-,-,0,0,0
785,パチスロ蒼天の拳 朋友,0,0,-,-,0,0,0
786,パチスロ 聖闘士星矢 海皇覚醒Special,10,1,1/127,1/115,"1,269",137,0
787,パチスロ 聖闘士星矢 海皇覚醒Special,1,0,1/562,1/562,562,47,0
788,パチスロ 聖闘士星矢 海皇覚醒Special,1,0,1/747,1/747,747,15,0
800,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,1,1,0
801,押忍!サラリーマン番長,13,6,1/248,1/170,"3,225",153,0
802,押忍!サラリーマン番長,4,0,1/449,1/449,"1,796",273,0
803,押忍!サラリーマン番長,4,1,1/445,1/356,"1,779",464,0
805,押忍!サラリーマン番長,7,1,1/263,1/230,"1,841",244,0
806,押忍!サラリーマン番長,4,0,1/276,1/276,"1,104",453,0
807,押忍!番長3,16,1,1/134,1/126,"2,142",119,0
808,押忍!番長3,4,0,1/139,1/139,557,126,0
810,押忍!番長3,2,0,1/233,1/233,466,90,0
811,押忍!番長3,5,0,1/148,1/148,739,180,0
812,押忍!番長3,1,0,1/384,1/384,384,165,0
813,押忍!番長3,5,0,1/162,1/162,810,98,0
815,押忍!番長3,38,6,1/56,1/48,"2,133",157,0
816,SLOTバジリスク～甲賀忍法帖～絆2,40,18,1/110,1/76,"4,415",27,0
817,SLOTバジリスク～甲賀忍法帖～絆2,40,25,1/128,1/79,"5,135",21,0
818,SLOTバジリスク～甲賀忍法帖～絆2,30,23,1/120,1/68,"3,596",12,0
820,SLOTバジリスク～甲賀忍法帖～絆2,47,30,1/99,1/60,"4,642",0,0
821,SLOTバジリスク～甲賀忍法帖～絆2,30,27,1/82,1/43,"2,446",2,0
822,SLOTバジリスク～甲賀忍法帖～絆2,70,55,1/91,1/51,"6,363",33,0
823,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
825,Re:ゼロから始める異世界生活,1,0,1/549,1/549,549,4,0
826,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
827,Re:ゼロから始める異世界生活,0,0,-,-,2,3,0
828,Re:ゼロから始める異世界生活,0,0,-,-,3,3,0
830,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,4,2,1/310,1/207,"1,240",112,0
831,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,102,103,0
832,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,3,2,1/301,1/181,903,2,0
833,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,95,95,0
835,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,113,113,0
836,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
837,パチスロ 戦コレ！[泰平女君] 徳川家康,2,0,1/417,1/417,834,9,0
838,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,108,108,0
850,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,59,59,0
851,SLOT魔法少女まどか☆マギカ2,9,10,1/261,1/124,"2,349",72,0
852,SLOT魔法少女まどか☆マギカ2,7,3,1/231,1/162,"1,618",350,0
853,パチスロ猛獣王 王者の咆哮,1,2,1/399,1/133,399,130,0
855,パチスロ猛獣王 王者の咆哮,1,1,1/199,1/100,199,164,0
856,パチスロ リング 呪いの7日間,1,5,1/1769,1/295,"1,769",346,0
857,パチスロ リング 呪いの7日間,5,8,1/364,1/140,"1,820",133,0
858,パチスロエウレカセブンAO,13,24,1/306,1/107,"3,975",94,0
860,パチスロエウレカセブンAO,3,2,1/268,1/161,803,45,0
861,パチスロ バイオハザード リべレーションズ,80,92,1/57,1/27,"4,598",9,0
862,パチスロ バイオハザード リべレーションズ,6,0,1/129,1/129,775,10,0
863,パチスロ バイオハザード リべレーションズ,10,10,1/76,1/38,757,197,0
865,ＨＥＹ！鏡,0,1,-,1/942,942,182,0
866,ＨＥＹ！鏡,8,0,1/77,1/77,612,65,0
867,ＨＥＹ！鏡,20,14,1/241,1/142,"4,822",21,0
868,ＨＥＹ！鏡,0,0,-,-,0,0,0
870,ＨＥＹ！鏡,4,1,1/134,1/107,534,93,0
871,ミリオンゴッド,3,0,1/508,1/508,"1,524",194,0
872,ミリオンゴッド,4,0,1/299,1/299,"1,197",151,0
873,ミリオンゴッド,2,0,1/610,1/610,"1,219",75,0
875,ミリオンゴッド,19,1,1/156,1/149,"2,970",34,0
876,GⅠ優駿倶楽部2,0,0,-,-,0,0,0
877,GⅠ優駿倶楽部2,0,0,-,-,0,0,0
878,GⅠ優駿倶楽部2,0,0,-,-,0,0,0
880,GⅠ優駿倶楽部2,0,0,-,-,0,0,0
881,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
882,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,40,40,0
883,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,22,22,0
885,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
886,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
887,パチスロコードギアス反逆のルルーシュR2,0,0,-,-,160,160,0
888,パチスロコードギアス反逆のルルーシュR2,9,7,1/181,1/102,"1,631",460,0
1000,パチスロコードギアス反逆のルルーシュR2,11,20,1/207,1/74,"2,282",115,0
1001,沖ドキ！トロピカル,0,0,-,-,168,168,0
1002,沖ドキ！トロピカル,0,1,-,1/332,332,224,0
1003,SLOTバジリスク～甲賀忍法帖～Ⅲ,12,0,1/88,1/88,"1,055",94,0
1005,SLOTバジリスク～甲賀忍法帖～Ⅲ,2,1,1/426,1/284,852,99,0
1006,政宗2,0,0,-,-,0,0,0
1007,政宗2,90,51,1/21,1/13,"1,852",13,0
1008,パチスロ ヱヴァンゲリヲン AT777,0,0,-,-,0,0,0
1010,パチスロ ヱヴァンゲリヲン AT777,2,2,1/334,1/167,668,49,0
1011,パチスロ ボンバーパワフルⅢ,0,2,-,1/623,"1,246",389,0
1012,クレアの秘宝伝 ～眠りの塔とめざめの石～,4,3,1/256,1/146,"1,023",33,0
1013,スーパービンゴギャラクシー,0,0,-,-,182,182,0
1015,パチスロリング 終焉ノ刻,0,0,-,-,120,120,0
1016,PACHISLOT NINJA GAIDEN,3,2,1/414,1/248,"1,242",133,0
1017,天下布武3,2,7,1/1047,1/233,"2,094",135,0
1018,パチスロ 地獄少女 宵伽,2,0,1/543,1/543,"1,085",137,0
1020,スーパービンゴNEO,29,2,1/19,1/18,563,68,0
1021,新世紀エヴァンゲリオン～まごころを、君に～2(レイパネル),2,0,1/386,1/386,772,28,0
1022,デビル メイ クライ クロス,5,1,1/166,1/139,831,4,0
1023,ぱちスロAKB48 勝利の女神,0,0,-,-,0,0,0
1025,マジカルハロウィン6,3,1,1/164,1/123,492,53,0
1026,ぱちスロ テラフォーマーズ,27,16,1/34,1/21,918,136,0
1027,ロックマン アビリティ 史上最大の試練,6,0,1/254,1/254,"1,526",264,0
1028,回胴黙示録カイジ４,0,0,-,-,0,0,0
1030,マジカルハロウィン5,25,25,1/127,1/63,"3,171",61,0
1031,パチスロあの日見た花の名前を僕達はまだ知らない。,2,0,1/86,1/86,171,37,0
1032,パチスロ蒼き鋼のアルペジオ,0,0,-,-,53,53,0
1033,ぱちスロ AKB48 エンジェル,2,0,1/226,1/226,451,91,0
1035,燃えよ!功夫淑女ドラゴン,4,8,1/71,1/24,282,118,0
1036,戦国乙女～剣戟に舞う白き剣聖～西国参戦編,19,0,1/198,1/198,"3,765",115,0
1037,リノ,1,3,1/346,1/87,346,55,0
1038,パチスロ北斗の拳 修羅の国篇 羅刹ver.,4,4,1/248,1/124,991,255,0
1050,パチスロ火曜サスペンス劇場,0,0,-,-,78,78,0
1051,パチスロ ガールズ&パンツァーG～これが私の戦車道です!～,2,4,1/313,1/104,626,108,0
1052,パチスロ 聖闘士星矢 海皇覚醒,17,1,1/165,1/155,"2,798",96,0
1053,パチスロ モンキーターンⅡ,6,0,1/239,1/239,"1,436",129,0
1055,パチスロ ケロット3,1,0,1/534,1/534,534,389,0
1056,パチスロBLOOD+ 二人の女王,6,3,1/413,1/275,"2,475",372,0
1057,パチスロ学園黙示録ハイスクール・オブ・ザ・デッド,1,0,1/297,1/297,297,197,0
1058,SLOTギャラガ,10,1,1/57,1/52,570,74,0
1060,パチスロ北斗の拳 修羅の国篇,2,2,1/569,1/285,"1,138",531,0
1061,パチスロ マッハGoGoGo,1,1,1/748,1/374,748,424,0
1062,A,4,6,1/370,1/148,"1,479",200,0
1063,パチスロ牙狼,0,0,-,-,226,226,0
1065,戦国パチスロ花の慶次 ～天を穿つ戦槍～,0,0,-,-,0,0,0
1066,パチスロ ゴッドイーター,59,7,1/40,1/36,"2,378",111,0
1067,バーサス,12,5,1/173,1/122,"2,070",139,0
1068,A,11,2,1/171,1/145,"1,880",183,0
1070,3×3EYES ～聖魔覚醒～,0,0,-,-,0,0,0
1131,ゴーゴージャグラー2,2,0,1/601,1/601,"1,202",827,0
1132,ゴーゴージャグラー2,6,3,1/289,1/193,"1,736",319,0
1133,ゴーゴージャグラー2,6,4,1/224,1/135,"1,346",183,0
1135,ゴーゴージャグラー,24,35,1/324,1/132,"7,774",157,0
1136,ゴーゴージャグラー,2,0,1/141,1/141,281,172,0
1137,ゴーゴージャグラー,3,4,1/413,1/177,"1,240",235,0
1138,ゴーゴージャグラー,12,13,1/283,1/136,"3,397",109,0
1150,ゴーゴージャグラー,1,1,1/320,1/160,320,157,0
1151,スーパーミラクルジャグラー,15,17,1/293,1/137,"4,390",199,0
1152,スーパーミラクルジャグラー,3,0,1/230,1/230,689,196,0
1153,スーパーミラクルジャグラー,5,3,1/299,1/187,"1,496",256,0
1155,アイムジャグラーEX－AE,0,0,-,-,33,33,0
1156,アイムジャグラーEX－AE,3,3,1/277,1/139,831,241,0
1157,アイムジャグラーEX－AE,1,1,1/747,1/374,747,210,0
1158,アイムジャグラーEX－AE,7,2,1/165,1/128,"1,155",172,0
1160,アイムジャグラーEX－AE,4,1,1/171,1/137,683,241,0
1161,アイムジャグラーEX－AE,0,2,-,1/286,572,303,0
1162,アイムジャグラーEX－AE,9,7,1/245,1/138,"2,202",147,0
1163,アイムジャグラーEX－AE,1,0,1/570,1/570,570,168,0
1165,アイムジャグラーEX－AE,12,4,1/247,1/185,"2,967",456,0
1166,アイムジャグラーEX－AE,5,4,1/462,1/257,"2,312",124,0
1167,アイムジャグラーEX－AE,4,2,1/286,1/191,"1,145",322,0
1168,アイムジャグラーEX－AE,2,3,1/428,1/171,856,273,0
1170,アイムジャグラーEX－AE,0,0,-,-,390,390,0
1171,アイムジャグラーEX－AE,29,17,1/216,1/136,"6,269",76,0
1172,アイムジャグラーEX－AE,1,1,1/472,1/236,472,382,0
1173,アイムジャグラーEX－AE,1,1,1/352,1/176,352,183,0
1175,アイムジャグラーEX－AE,0,0,-,-,260,261,0
1176,アイムジャグラーEX－AE,9,9,1/328,1/164,"2,956",228,0
1177,スーパーミラクルジャグラー,6,6,1/383,1/191,"2,296",182,0
1178,スーパーミラクルジャグラー,2,2,1/370,1/185,740,291,0
1180,スーパーミラクルジャグラー,22,15,1/241,1/144,"5,310",12,0
1181,ゴーゴージャグラー,4,3,1/360,1/205,"1,438",210,0
1182,ゴーゴージャグラー,6,6,1/270,1/135,"1,621",331,0
1183,ゴーゴージャグラー,1,0,1/288,1/288,288,256,0
1185,ゴーゴージャグラー,3,5,1/681,1/255,"2,042",164,0
1186,ゴーゴージャグラー,0,0,-,-,246,246,0
1187,ゴーゴージャグラー2,0,1,-,1/556,556,189,0
1188,ゴーゴージャグラー2,24,18,1/220,1/126,"5,290",261,0
1200,ゴーゴージャグラー2,37,24,1/195,1/118,"7,199",241,0
1201,パチスロディスクアップ,4,2,1/403,1/269,"1,612",179,0
1202,パチスロディスクアップ,6,4,1/326,1/196,"1,957",554,0
1203,パチスロディスクアップ,10,8,1/268,1/149,"2,681",173,0
1205,パチスロディスクアップ,1,2,1/690,1/230,690,93,0
1206,パチスロディスクアップ,13,9,1/304,1/180,"3,950","1,540",0
1207,パチスロディスクアップ,15,10,1/303,1/182,"4,542",110,0
1208,スーパープラネットSP,0,0,-,-,0,0,0
1210,スーパープラネットSP,0,0,-,-,0,0,0
1211,スーパープラネットSP,0,0,-,-,0,0,0
1212,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,0,0,-,-,1,1,0
1213,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,1,1,1/273,1/137,273,235,0
1215,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,0,0,-,-,10,10,0
1216,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,0,0,-,-,1,1,0
1217,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか,1,0,1/180,1/180,180,107,0
1218,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか,0,0,-,-,51,51,0
1220,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか,0,0,-,-,136,136,0
1221,シークレットハイビスカス,0,0,-,-,4,4,0
1222,シークレットハイビスカス,4,2,1/230,1/153,920,380,0
1223,シークレットハイビスカス,0,1,-,1/96,96,78,0
1225,シークレットハイビスカス,0,0,-,-,134,134,0
1226,ニューパルサーSPⅡ,6,5,1/314,1/171,"1,881",189,0
1227,ニューパルサーSPⅡ,0,0,-,-,105,105,0
1228,ニューパルサーSPⅡ,2,4,1/446,1/149,891,118,0
1230,ニューパルサーSPⅡ,0,0,-,-,151,152,0
1231,ニューパルサーデラックス,16,12,1/188,1/108,"3,010",70,0
1232,ニューパルサーデラックス,0,0,-,-,102,102,0
1233,ニューパルサーデラックス,2,4,1/518,1/173,"1,036",124,0
1235,バイオハザード イントゥザパニック,7,4,1/156,1/100,"1,095",347,0
1236,バイオハザード イントゥザパニック,0,0,-,-,81,81,0
1237,バイオハザード イントゥザパニック,0,0,-,-,35,35,0
1238,バイオハザード イントゥザパニック,0,0,-,-,28,28,0
