台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
281,パチスロ サラリーマン金太郎～MAX～,4,3,1/327,1/187,"1,306",26,896
282,闘魂継承 アントニオ猪木という名のパチスロ機,13,4,1/147,1/112,"1,908",85,859
283,マジカルハロウィン7,4,3,1/239,1/136,954,100,458
285,S 喰霊,0,0,-,-,0,0,0
286,ハナビ通(HH),15,6,1/226,1/161,"3,386",139,"1,901"
287,パチスロ 不二子 TYPE A+,4,4,1/546,1/273,"2,182",201,"1,789"
288,SLOTファミリースタジアム,1,1,1/681,1/341,681,365,848
300,回胴黙示録カイジ４,4,14,1/351,1/78,"1,404",383,735
301,パチスロ 戦国乙女 TYPE A+,5,8,1/397,1/153,"1,986",78,889
302,パチスロあの日見た花の名前を僕達はまだ知らない。,19,3,1/24,1/20,449,1,737
303,パチスロ 聖闘士星矢 海皇覚醒,49,6,1/66,1/59,"3,219",23,"3,540"
305,秘宝伝～ＴｈｅＬａｓｔ～,2,1,1/463,1/308,925,814,860
306,パチスロ 笑ゥせぇるすまん3～笑撃のドーン～,12,5,1/106,1/74,"1,266",113,922
307,アナザーゴッドハーデス,14,0,1/262,1/262,"3,668",5,"8,837"
308,アナザーゴッドハーデス,10,0,1/289,1/289,"2,889",49,"4,244"
310,アナザーゴッドハーデス,10,0,1/307,1/307,"3,066",33,"3,724"
311,アナザーゴッドハーデス,5,0,1/562,1/562,"2,808",521,"3,079"
312,ミリオンゴッド,50,0,1/54,1/54,"2,704",132,"10,294"
313,ミリオンゴッド,4,0,1/78,1/78,313,76,"1,112"
315,ミリオンゴッド,3,0,1/354,1/354,"1,063",378,"1,409"
316,ミリオンゴッド,11,0,1/166,1/166,"1,825",47,"1,994"
317,ミリオンゴッド,2,0,1/244,1/244,487,367,716
318,パチスロ モンスターハンター 月下雷鳴,82,0,1/26,1/26,"2,125",140,"10,763"
320,押忍!サラリーマン番長,17,2,1/330,1/295,"5,608",253,"1,833"
321,プレミアムビンゴ,11,0,1/11,1/11,116,4,"14,089"
322,パチスロ ゴッドイーター,10,2,1/154,1/128,"1,540",101,"1,412"
323,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,45,45,86
325,パチスロ FAIRY TAIL(ナツver.),0,2,-,1/260,520,446,722
326,パチスロ トータル・イクリプス2,0,1,-,1/191,191,96,96
327,パチスロ トータル・イクリプス2,0,1,-,1/664,664,1,597
328,パチスロ ボンバーパワフルⅢ,37,8,1/28,1/23,"1,046",282,"2,423"
330,パチスロ ボンバーパワフルⅢ,14,3,1/64,1/52,891,68,942
331,GⅠ優駿倶楽部2,19,0,1/67,1/67,"1,266",3,998
332,GⅠ優駿倶楽部2,4,0,1/228,1/228,910,28,940
333,探偵オペラ ミルキィホームズ 1／2の奇跡,1,0,1/466,1/466,466,102,498
335,探偵オペラ ミルキィホームズ 1／2の奇跡,0,0,-,-,15,15,26
336,パチスロディスクアップ,9,2,1/264,1/216,"2,380",290,"1,504"
337,パチスロディスクアップ,15,11,1/293,1/169,"4,390",30,"2,543"
338,パチスロディスクアップ,8,2,1/298,1/239,"2,385",178,"1,254"
350,パチスロディスクアップ,17,6,1/187,1/138,"3,177",392,"3,628"
351,盗忍！剛衛門,11,4,1/103,1/76,"1,134",300,922
352,盗忍！剛衛門,5,3,1/471,1/294,"2,355",707,"2,323"
