台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
781,パチスロ蒼天の拳 朋友,0,0,-,-,0,0,0
782,パチスロ蒼天の拳 朋友,20,9,1/60,1/42,"1,208",237,0
783,パチスロ蒼天の拳 朋友,2,2,1/165,1/82,329,131,0
785,パチスロ蒼天の拳 朋友,0,0,-,-,57,57,0
786,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,0,0,0
787,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,0,0,0
788,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,0,0,0
800,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,0,0,0
801,押忍!サラリーマン番長,8,4,1/371,1/248,"2,970",122,0
802,押忍!サラリーマン番長,2,1,1/311,1/207,622,457,0
803,押忍!サラリーマン番長,7,3,1/406,1/284,"2,843",115,0
805,押忍!サラリーマン番長,0,0,-,-,266,266,0
806,押忍!サラリーマン番長,11,4,1/258,1/189,"2,841",247,0
807,押忍!番長3,0,0,-,-,211,211,0
808,押忍!番長3,0,0,-,-,55,55,0
810,押忍!番長3,1,0,1/1037,1/1037,"1,037",13,0
811,押忍!番長3,64,12,1/31,1/26,"2,004",3,0
812,押忍!番長3,0,0,-,-,90,90,0
813,押忍!番長3,29,4,1/89,1/78,"2,590",199,0
815,押忍!番長3,4,0,1/222,1/222,888,221,0
816,SLOTバジリスク～甲賀忍法帖～絆2,29,13,1/158,1/109,"4,593",80,0
817,SLOTバジリスク～甲賀忍法帖～絆2,31,17,1/103,1/67,"3,203",6,0
818,SLOTバジリスク～甲賀忍法帖～絆2,61,66,1/91,1/44,"5,549",35,0
820,SLOTバジリスク～甲賀忍法帖～絆2,21,11,1/96,1/63,"2,015",26,0
821,SLOTバジリスク～甲賀忍法帖～絆2,38,35,1/105,1/54,"3,977",46,0
822,SLOTバジリスク～甲賀忍法帖～絆2,17,13,1/138,1/78,"2,352",153,0
823,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
825,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
826,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
827,Re:ゼロから始める異世界生活,1,0,1/493,1/493,493,0,0
828,Re:ゼロから始める異世界生活,1,0,1/765,1/765,765,1,0
830,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,0,0,0
831,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,0,0,0
832,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,0,0,0
833,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,0,0,0
835,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,0,0,0
836,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
837,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
838,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
850,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
851,SLOT魔法少女まどか☆マギカ2,0,0,-,-,0,0,0
852,SLOT魔法少女まどか☆マギカ2,8,5,1/158,1/97,"1,263",83,0
853,パチスロ猛獣王 王者の咆哮,0,0,-,-,0,0,0
