台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
781,パチスロ蒼天の拳 朋友,0,0,-,-,279,279,0
782,パチスロ蒼天の拳 朋友,0,0,-,-,107,107,0
783,パチスロ蒼天の拳 朋友,0,0,-,-,103,103,0
785,パチスロ蒼天の拳 朋友,45,13,1/31,1/24,"1,416",24,0
786,パチスロ 聖闘士星矢 海皇覚醒Special,4,0,1/546,1/546,"2,182",21,0
787,パチスロ 聖闘士星矢 海皇覚醒Special,25,1,1/59,1/56,"1,463",138,0
788,パチスロ 聖闘士星矢 海皇覚醒Special,3,0,1/621,1/621,"1,862",200,0
800,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,24,24,0
801,押忍!サラリーマン番長,16,7,1/265,1/184,"4,240",141,0
802,押忍!サラリーマン番長,22,11,1/222,1/148,"4,888",488,0
803,押忍!サラリーマン番長,24,8,1/206,1/154,"4,933",278,0
805,押忍!サラリーマン番長,5,3,1/539,1/337,"2,693",95,0
806,押忍!サラリーマン番長,14,10,1/303,1/177,"4,243",134,0
807,押忍!番長3,8,0,1/268,1/268,"2,145",437,0
808,押忍!番長3,4,0,1/219,1/219,876,249,0
810,押忍!番長3,6,1,1/310,1/265,"1,857",325,0
811,押忍!番長3,15,1,1/155,1/145,"2,321",92,0
812,押忍!番長3,14,6,1/140,1/98,"1,957",89,0
813,押忍!番長3,1,0,1/540,1/540,540,75,0
815,押忍!番長3,46,6,1/49,1/43,"2,249",239,0
816,SLOTバジリスク～甲賀忍法帖～絆2,53,41,1/112,1/63,"5,954",75,0
817,SLOTバジリスク～甲賀忍法帖～絆2,47,31,1/101,1/61,"4,741",57,0
818,SLOTバジリスク～甲賀忍法帖～絆2,55,65,1/94,1/43,"5,176",3,0
820,SLOTバジリスク～甲賀忍法帖～絆2,48,37,1/105,1/59,"5,024",16,0
821,SLOTバジリスク～甲賀忍法帖～絆2,53,37,1/110,1/65,"5,837",8,0
822,SLOTバジリスク～甲賀忍法帖～絆2,32,18,1/121,1/78,"3,886",18,0
823,Re:ゼロから始める異世界生活,42,3,1/63,1/59,"2,637",4,0
825,Re:ゼロから始める異世界生活,1,0,1/818,1/818,818,72,0
826,Re:ゼロから始める異世界生活,3,0,1/304,1/304,912,79,0
827,Re:ゼロから始める異世界生活,15,1,1/111,1/104,"1,670",7,0
828,Re:ゼロから始める異世界生活,16,1,1/139,1/130,"2,218",33,0
830,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,96,96,0
831,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,13,3,1/127,1/103,"1,647",2,0
832,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,0,0,0
833,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,12,6,1/178,1/118,"2,132",109,0
835,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,1,0,1/575,1/575,575,4,0
836,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
837,パチスロ 戦コレ！[泰平女君] 徳川家康,45,0,1/34,1/34,"1,541",2,0
838,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
850,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
851,SLOT魔法少女まどか☆マギカ2,0,0,-,-,0,0,0
852,SLOT魔法少女まどか☆マギカ2,28,24,1/121,1/65,"3,378",75,0
853,パチスロ猛獣王 王者の咆哮,0,0,-,-,0,0,0
855,パチスロ猛獣王 王者の咆哮,0,0,-,-,0,0,0
856,パチスロ リング 呪いの7日間,12,12,1/292,1/146,"3,505",117,0
857,パチスロ リング 呪いの7日間,0,0,-,-,122,122,0
858,パチスロエウレカセブンAO,29,53,1/297,1/105,"8,600",183,0
860,パチスロエウレカセブンAO,6,6,1/358,1/179,"2,148",233,0
861,パチスロ バイオハザード リべレーションズ,61,66,1/64,1/31,"3,919",148,0
