台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
781,パチスロ蒼天の拳 朋友,19,7,1/57,1/41,"1,078",172,0
782,パチスロ蒼天の拳 朋友,11,4,1/61,1/45,675,104,0
783,パチスロ蒼天の拳 朋友,25,4,1/41,1/35,"1,016",141,0
785,パチスロ蒼天の拳 朋友,6,1,1/38,1/33,230,82,0
786,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,95,95,0
787,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,19,19,0
788,パチスロ 聖闘士星矢 海皇覚醒Special,0,0,-,-,1,1,0
800,パチスロ 聖闘士星矢 海皇覚醒Special,28,2,1/51,1/48,"1,428",53,0
801,押忍!サラリーマン番長,14,4,1/276,1/215,"3,863",191,0
802,押忍!サラリーマン番長,19,8,1/198,1/140,"3,768",87,0
803,押忍!サラリーマン番長,9,4,1/248,1/172,"2,232",238,0
805,押忍!サラリーマン番長,4,1,1/457,1/365,"1,826",448,0
806,押忍!サラリーマン番長,15,3,1/171,1/142,"2,561",290,0
807,押忍!番長3,8,0,1/166,1/166,"1,326",212,0
808,押忍!番長3,0,0,-,-,348,348,0
810,押忍!番長3,4,0,1/234,1/234,937,210,0
811,押忍!番長3,0,0,-,-,278,278,0
812,押忍!番長3,0,0,-,-,109,109,0
813,押忍!番長3,61,13,1/47,1/38,"2,845",134,0
815,押忍!番長3,0,0,-,-,69,69,0
816,SLOTバジリスク～甲賀忍法帖～絆2,62,35,1/100,1/64,"6,172",1,0
817,SLOTバジリスク～甲賀忍法帖～絆2,39,41,1/128,1/62,"4,976",1,0
818,SLOTバジリスク～甲賀忍法帖～絆2,51,37,1/86,1/50,"4,384",2,0
820,SLOTバジリスク～甲賀忍法帖～絆2,58,47,1/83,1/46,"4,840",4,0
821,SLOTバジリスク～甲賀忍法帖～絆2,21,12,1/145,1/92,"3,044",27,0
822,SLOTバジリスク～甲賀忍法帖～絆2,34,16,1/137,1/93,"4,670",4,0
823,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
825,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
826,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
827,Re:ゼロから始める異世界生活,1,0,1/649,1/649,649,2,0
828,Re:ゼロから始める異世界生活,0,0,-,-,0,0,0
830,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,9,4,1/156,1/108,"1,405",93,0
831,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,4,3,1/284,1/162,"1,135",2,0
832,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,0,0,-,-,138,138,0
833,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,9,2,1/115,1/94,"1,035",102,0
835,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,2,0,1/336,1/336,672,138,0
836,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
837,パチスロ 戦コレ！[泰平女君] 徳川家康,0,0,-,-,0,0,0
838,パチスロ 戦コレ！[泰平女君] 徳川家康,33,0,1/102,1/102,"3,382",101,0
850,パチスロ 戦コレ！[泰平女君] 徳川家康,2,0,1/126,1/126,252,53,0
851,SLOT魔法少女まどか☆マギカ2,0,0,-,-,0,0,0
852,SLOT魔法少女まどか☆マギカ2,9,5,1/196,1/126,"1,761",107,0
853,パチスロ猛獣王 王者の咆哮,0,0,-,-,56,56,0
855,パチスロ猛獣王 王者の咆哮,0,0,-,-,0,0,0
856,パチスロ リング 呪いの7日間,0,0,-,-,281,281,0
857,パチスロ リング 呪いの7日間,15,9,1/167,1/105,"2,509",368,0
858,パチスロエウレカセブンAO,23,32,1/174,1/73,"3,995",199,0
860,パチスロエウレカセブンAO,1,0,1/602,1/602,602,253,0
