台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
281,パチスロ サラリーマン金太郎～MAX～,2,2,1/573,1/286,"1,145",144,583
282,闘魂継承 アントニオ猪木という名のパチスロ機,0,0,-,-,0,0,0
283,マジカルハロウィン7,3,1,1/272,1/204,817,98,599
285,S 喰霊,9,9,1/138,1/69,"1,245",383,872
286,ハナビ通(HH),5,2,1/401,1/287,"2,006",306,"1,399"
287,パチスロ 不二子 TYPE A+,2,4,1/690,1/230,"1,380",334,806
288,SLOTファミリースタジアム,7,4,1/329,1/209,"2,302",869,"1,305"
300,回胴黙示録カイジ４,0,0,-,-,103,103,179
301,パチスロ 戦国乙女 TYPE A+,8,6,1/246,1/140,"1,965",29,"1,004"
302,パチスロあの日見た花の名前を僕達はまだ知らない。,0,0,-,-,0,0,0
303,パチスロ 聖闘士星矢 海皇覚醒,4,1,1/469,1/375,"1,877",602,"1,506"
305,秘宝伝～ＴｈｅＬａｓｔ～,1,1,1/349,1/175,349,183,217
306,パチスロ 笑ゥせぇるすまん3～笑撃のドーン～,8,3,1/154,1/112,"1,231",111,983
307,アナザーゴッドハーデス,11,0,1/274,1/274,"3,016",118,"2,913"
308,アナザーゴッドハーデス,17,0,1/304,1/304,"5,173",31,"4,608"
310,アナザーゴッドハーデス,1,0,1/878,1/878,878,616,"1,381"
311,アナザーゴッドハーデス,7,0,1/249,1/249,"1,742",49,"1,891"
312,ミリオンゴッド,23,0,1/30,1/30,698,35,"6,336"
313,ミリオンゴッド,1,0,1/550,1/550,550,36,"1,039"
315,ミリオンゴッド,8,0,1/94,1/94,749,34,"2,295"
316,ミリオンゴッド,2,0,1/373,1/373,746,167,"1,124"
317,ミリオンゴッド,11,0,1/112,1/112,"1,235",52,"1,972"
318,パチスロ モンスターハンター 月下雷鳴,3,0,1/188,1/188,565,237,705
320,押忍!サラリーマン番長,11,0,1/223,1/223,"2,457",458,"3,601"
321,プレミアムビンゴ,24,0,1/11,1/11,255,0,"14,927"
322,パチスロ ゴッドイーター,16,2,1/74,1/65,"1,178",12,"2,241"
323,パチスロ FAIRY TAIL(ナツver.),0,0,-,-,0,0,0
325,パチスロ FAIRY TAIL(ナツver.),17,2,1/76,1/68,"1,297",77,"1,169"
326,パチスロ トータル・イクリプス2,0,5,-,1/242,"1,210",217,891
327,パチスロ トータル・イクリプス2,0,0,-,-,0,0,0
328,パチスロ ボンバーパワフルⅢ,26,9,1/64,1/48,"1,674",40,"1,168"
330,パチスロ ボンバーパワフルⅢ,0,0,-,-,346,346,376
331,GⅠ優駿倶楽部2,2,0,1/412,1/412,823,131,580
332,GⅠ優駿倶楽部2,4,0,1/37,1/37,148,14,242
333,探偵オペラ ミルキィホームズ 1／2の奇跡,3,3,1/316,1/158,948,28,631
335,探偵オペラ ミルキィホームズ 1／2の奇跡,0,0,-,-,0,0,0
336,パチスロディスクアップ,14,7,1/215,1/143,"3,011",464,"3,109"
337,パチスロディスクアップ,4,0,1/276,1/276,"1,105",575,702
338,パチスロディスクアップ,0,0,-,-,251,250,398
350,パチスロディスクアップ,1,5,1/1845,1/308,"1,845",871,"1,898"
351,盗忍！剛衛門,0,0,-,-,0,0,0
352,盗忍！剛衛門,9,3,1/65,1/49,586,20,"1,232"
353,盗忍！剛衛門,0,0,-,-,0,0,0
355,押忍!番長3,5,0,1/428,1/428,"2,138",219,"2,039"
356,押忍!番長3,44,9,1/73,1/61,"3,218",447,"3,867"
357,押忍!番長3,5,0,1/187,1/187,937,569,733
358,押忍!番長3,5,0,1/253,1/253,"1,265",174,"1,300"
360,押忍!番長3,3,0,1/537,1/537,"1,611",187,"1,647"
361,SLOT魔法少女まどか☆マギカ2,5,4,1/322,1/179,"1,611",34,"1,706"
362,SLOT魔法少女まどか☆マギカ2,4,3,1/192,1/110,768,65,"1,072"
363,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,3,2,1/271,1/163,814,123,637
365,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,2,0,1/124,1/124,247,123,154
366,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,3,2,1/264,1/158,792,6,417
367,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,18,14,1/135,1/76,"2,422",103,"2,036"
368,パチスロ北斗の拳 天昇,0,0,-,-,0,0,0
370,パチスロ北斗の拳 天昇,8,0,1/143,1/143,"1,140",1,"1,297"
371,パチスロ北斗の拳 天昇,0,0,-,-,0,0,0
372,パチスロ北斗の拳 天昇,3,0,1/256,1/256,769,52,748
373,SLOTバジリスク～甲賀忍法帖～絆2,30,22,1/116,1/67,"3,489",40,914
375,SLOTバジリスク～甲賀忍法帖～絆2,17,11,1/123,1/75,"2,099",0,708
376,SLOTバジリスク～甲賀忍法帖～絆2,28,24,1/81,1/44,"2,274",1,898
377,SLOTバジリスク～甲賀忍法帖～絆2,11,2,1/140,1/119,"1,544",1,"1,536"
378,SLOTバジリスク～甲賀忍法帖～絆2,36,23,1/105,1/64,"3,772",0,"1,585"
380,バジリスク～甲賀忍法帖～絆,47,0,1/137,1/137,"6,426",120,"1,891"
381,バジリスク～甲賀忍法帖～絆,50,0,1/158,1/158,"7,905",159,"5,696"
382,バジリスク～甲賀忍法帖～絆,58,0,1/125,1/125,"7,224",121,"11,353"
383,バジリスク～甲賀忍法帖～絆,63,0,1/117,1/117,"7,365",112,"8,338"
385,バジリスク～甲賀忍法帖～絆,0,0,-,-,0,0,0
386,パチスロ北斗の拳 天昇,2,0,1/504,1/504,"1,008",128,965
387,パチスロ北斗の拳 天昇,2,0,1/384,1/384,767,1,570
388,パチスロ北斗の拳 天昇,0,0,-,-,0,0,0
500,パチスロ北斗の拳 天昇,0,0,-,-,0,0,0
501,Re:ゼロから始める異世界生活,15,0,1/104,1/104,"1,553",3,"1,499"
502,Re:ゼロから始める異世界生活,36,1,1/23,1/22,831,38,"2,967"
503,Re:ゼロから始める異世界生活,16,0,1/142,1/142,"2,265",31,"1,655"
505,Re:ゼロから始める異世界生活,1,0,1/770,1/770,770,10,747
506,Re:ゼロから始める異世界生活,1,0,1/690,1/690,690,5,720
507,パチスロ交響詩篇エウレカセブン3 HI,8,9,1/148,1/70,"1,183",197,"1,793"
508,パチスロ交響詩篇エウレカセブン3 HI,0,0,-,-,0,0,0
510,パチスロ交響詩篇エウレカセブン3 HI,0,0,-,-,0,0,0
511,パチスロ交響詩篇エウレカセブン3 HI,4,0,1/367,1/367,"1,469",21,"1,155"
512,S 地獄少女 あとはあなたが決めることよ,12,8,1/261,1/157,"3,134",202,"1,620"
513,S 地獄少女 あとはあなたが決めることよ,6,7,1/672,1/310,"4,031",214,"2,937"
515,S 地獄少女 あとはあなたが決めることよ,0,4,-,1/658,"2,631",120,"2,652"
516,S 地獄少女 あとはあなたが決めることよ,29,13,1/149,1/103,"4,329",156,"1,753"
517,S 地獄少女 あとはあなたが決めることよ,6,9,1/643,1/257,"3,857",1,"2,939"
518,マイジャグラーⅢ,24,32,1/331,1/142,"7,952",106,"2,946"
520,マイジャグラーⅢ,19,11,1/221,1/140,"4,191",54,"2,190"
521,マイジャグラーⅢ,22,13,1/232,1/146,"5,109",514,"1,806"
522,マイジャグラーⅢ,12,8,1/270,1/162,"3,239",134,"1,386"
523,マイジャグラーⅢ,29,32,1/254,1/121,"7,373",391,"2,478"
525,マイジャグラーⅢ,10,21,1/548,1/177,"5,480",852,"2,975"
526,マイジャグラーⅢ,11,6,1/255,1/165,"2,808",364,849
527,マイジャグラーⅢ,20,25,1/306,1/136,"6,123",239,"1,304"
528,マイジャグラーⅢ,3,3,1/376,1/188,"1,129",190,906
530,マイジャグラーⅢ,17,15,1/282,1/150,"4,796",183,"1,604"
531,マイジャグラーⅢ,7,16,1/604,1/184,"4,231",194,"2,634"
532,ハッピージャグラーVⅡ,14,8,1/285,1/181,"3,991",240,"1,409"
533,ハッピージャグラーVⅡ,4,0,1/275,1/275,"1,100",100,856
535,ハッピージャグラーVⅡ,18,14,1/227,1/128,"4,090",82,"2,086"
536,ハッピージャグラーVⅡ,6,3,1/275,1/183,"1,647",415,890
537,ハッピージャグラーVⅡ,24,22,1/274,1/143,"6,572",175,"1,590"
538,ハッピージャグラーVⅡ,8,6,1/295,1/168,"2,357",201,"1,120"
550,ファンキージャグラー,5,5,1/504,1/252,"2,518",119,"2,158"
